Anbieter,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen
Gemeindewerke Stockelsdorf GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gemeindewerke-stockelsdorf.de/preise-56.html,
Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,8.80%,26.70%,9.90%,1.60%,51.80%,1.20%,100.00%,38.20%,18.26%,55.39%,20.54%,3.32%,2.49%,79.25%,312,0.0002,647.302904564315,https://www.gemeindewerke-taufkirchen.de/fileadmin/uploads/Dokumente_pdf/Diagramme_Stromkennzeichnung_2018-11-01_GWT.pdf,
Gemeindewerke Thüngen,10.70%,15.90%,3.70%,0.60%,52.90%,16.20%,100.00%,20.20%,22.72%,33.76%,7.86%,1.27%,34.39%,42.89%,173,0.0003,367.303609341826,http://www.markt-thuengen.de/kommunale/strom/stromkennzeichnung.pdf,
Gemeindewerke Umkirch GmbH,0.00%,0.00%,24.30%,0.00%,52.90%,22.80%,100.00%,24.30%,0.00%,0.00%,51.59%,0.00%,48.41%,51.59%,79,0.0000,167.728237791932,https://www.gemeindewerke-umkirch.de/de/Strom/Stromkennzeichung,
Gemeindewerke Waging,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-waging.de/strom,nicht aktuell
Gemeindewerke Waldfischbach-Burgalben,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gemeindewerke-wabu.de/index.php?view=content&ID_NODE_VIEW=2&ID_NODE_AKTIV=2,nicht aktuell
Gemeindewerke Weidenthal,10.20%,34.50%,8.90%,1.10%,45.30%,0.00%,100.00%,44.50%,18.65%,63.07%,16.27%,2.01%,0.00%,81.35%,390,0.0003,712.979890310786,https://www.swk-kl.de/fileadmin/data/downloads/pdfs/strommix/2017-11-09_Energietra__germix_weidenthal_2017.pdf,
Gemeindewerke Wendelstein,6.50%,19.00%,7.80%,1.20%,52.90%,12.70%,100.10%,28.00%,13.80%,40.34%,16.56%,2.55%,26.96%,59.45%,227,0.0002,481.953290870488,https://www.gemeindewerke-wendelstein.de/_obj/30F05E2F-A284-4CE1-93EA-46840DB9DDAF/outline/Energiemix-2017-fuer-2018.pdf,
Gemeindewerke Wickede (Ruhr) GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gwwickede.de/information/stromkennzeichnung.html,nicht aktuell
Gemeindewerke Wildeck Obersuhl,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.wildeck-hessen.de/index.php/gemeindewerke/strompreise,nicht aktuell
Gemeindewerke Wilhermsdorf,9.80%,26.80%,9.40%,0.90%,52.90%,0.20%,100.00%,37.10%,20.81%,56.90%,19.96%,1.91%,0.42%,78.77%,295,0.0003,626.326963906582,http://www.markt-wilhermsdorf.de/wp-content/uploads/2018/10/Stromkennzeichnung-2017.pdf,
Gemeindewerken Bovenden GmbH & Co. KG,1.40%,4.30%,1.40%,0.20%,52.90%,39.70%,99.90%,5.90%,2.97%,9.13%,2.97%,0.42%,84.29%,12.53%,51,0.0000,108.28025477707,https://www.gemeindewerke-bovenden.de/strom/stromkennzeichnung/,
Gemeindl. Werke Hengersberg,10.20%,26.90%,11.80%,1.30%,48.80%,1.00%,100.00%,40.00%,19.92%,52.54%,23.05%,2.54%,1.95%,78.13%,355,0.0003,693.359375,https://www.gw-hengersberg.de/strom/stromkennzeichnung.html,
Gemeindliche Stromversorgung Röttenbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.roettenbach-erh.de/stromversorgung/,nicht aktuell
gemeinsames Kommunalunternehmen Oberes Egertal,12.60%,15.50%,4.00%,0.70%,0.00%,67.20%,100.00%,20.20%,12.60%,15.50%,4.00%,0.70%,67.20%,20.20%,170,0.0003,170,http://www.g-ku.de/includes/docs/strom/Stromkennzeichnung__2019.pdf,FEHLER mit EEG
GEO Gesellschaft für Energieversorgung Ostalb mbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.geo-energie-ostalb.de/site/assets/files/1678/geo_stromkennzeichnung_2017.pdf,
Georg Oest Mineralölwerk GmbH & Co KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.avia.de/privatkunden/avia-strom.html,nicht aktuell
Getreidemühle Zwiefalten e.G.,19.20%,23.10%,2.70%,2.10%,52.90%,0.00%,100.00%,27.90%,40.76%,49.04%,5.73%,4.46%,0.00%,59.24%,224,0.0005,475.583864118896,https://www.getreidemuehle-zwiefalten.de/gmz/index.php?idcat=3,
GEW Wilhelmshaven GmbH,6.40%,23.90%,9.20%,1.10%,52.90%,6.40%,99.90%,34.20%,13.59%,50.74%,19.53%,2.34%,13.59%,72.61%,267,0.0002,566.87898089172,https://www.gew-wilhelmshaven.de/havenstrom/,
Gewerbepark Nürnberg-Feucht Versorgungs- und Abwasserentsorgungs GmbH,8.50%,25.10%,9.80%,1.50%,52.90%,2.20%,100.00%,36.40%,18.05%,53.29%,20.81%,3.18%,4.67%,77.28%,299,0.0002,634.819532908705,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/GNF/Strom/Stromvertrieb/Produktinformationen/Stromkennzeichnung_GNF_2017.pdf,
GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,7.80%,29.20%,6.50%,1.20%,52.90%,2.40%,100.00%,36.90%,16.56%,62.00%,13.80%,2.55%,5.10%,78.34%,305,0.0002,647.55838641189,https://www.ggew.de/rechnungserklaerung/,
goldgas GmbH,5.40%,16.70%,6.30%,1.10%,52.90%,17.60%,100.00%,24.10%,11.46%,35.46%,13.38%,2.34%,37.37%,51.17%,196,0.0001,416.135881104034,https://www.goldgas.de/fileadmin/resources/downloads/privatkunden/strom/goldgas-2017-Stromkennzeichung-Website.pdf,
Greenline - alternative energien GmbH,5.20%,25.10%,5.80%,1.00%,52.90%,9.90%,99.90%,31.90%,11.04%,53.29%,12.31%,2.12%,21.02%,67.73%,283,0.0001,600.849256900212,https://www.greenline.de/tankstellen/stromkennzeichnung,
Greenpeace Energy eG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.greenpeace-energy.de/rechtliches/energiewirtschaft.html#c17305,
gridX GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://gridx.de/,nicht vorhanden
grün.power GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://gruenpower.eu/stromkennzeichnung,
Grüner Funke - eine Marke der Fuxx-Die Sparenergie GmbH,5.64%,17.36%,6.50%,1.04%,52.94%,16.52%,100.00%,24.90%,11.98%,36.89%,13.81%,2.21%,35.10%,52.91%,203,0.0002,431.364215894603,https://gruenerfunke.de/rechtliches/stromkennzeichnung/,
grünES GmbH,0.00%,0.00%,0.00%,0.00%,54.70%,45.30%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gruen-es.de/oekostrom,FEHLER mit EEG
Grünstromwerk Vertriebs GmbH,0.00%,0.00%,0.00%,0.00%,52.80%,47.20%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.gruenstromwerk.de/unser-strommix,
Grünwelt - eine Marke der Stromio GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gruenwelt.de/stromkennzeichnung.html,nicht aktuell
Grünwelt Wärmestrom GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.gruenwelt.de/stromkennzeichnung.html,nicht aktuell
GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,8.80%,23.50%,11.00%,1.50%,52.90%,2.20%,99.90%,36.00%,18.68%,49.89%,23.35%,3.18%,4.67%,76.43%,280,0.0002,594.47983014862,https://www.gsw-kamen.de/energie-wasser/privatkunden/strom/produkte-und-preise/gsw-strom-privat-basis,
GWG Grevenbroich GmbH,7.10%,30.00%,3.20%,0.40%,52.80%,6.50%,100.00%,33.60%,15.04%,63.56%,6.78%,0.85%,13.77%,71.19%,319,0.0002,675.847457627119,https://www.new-energie.de/sites/new-energie.de/files/website/main-navigation/strom/stromkennzeichnung_der_new_energie.pdf,
GWS Stadtwerke Hameln GmbH,5.20%,24.80%,5.80%,1.00%,52.90%,10.30%,100.00%,31.60%,11.04%,52.65%,12.31%,2.12%,21.87%,67.09%,280,0.0001,594.47983014862,https://www.stadtwerke-hameln.de/produkte/strom/stromkennzeichnung.html,
Halberstadtwerke GmbH,8.10%,22.70%,8.90%,1.20%,50.60%,8.60%,100.10%,32.80%,16.40%,45.95%,18.02%,2.43%,17.41%,66.40%,265,0.0002,536.437246963563,https://www.halberstadtwerke.de/privatkunden/strom/wissenswertes/energietraegermix.html,
HAMBURG ENERGIE GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.hamburgenergie.de/oekostrom/unsere-stromtarife/,
Harz Energie GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.harzenergie.de/comfortstrom,nicht aktuell
Havelstrom Zehdenick GmbH,17.40%,21.20%,7.40%,0.90%,53.00%,0.10%,100.00%,29.50%,37.02%,45.11%,15.74%,1.91%,0.21%,62.77%,184,0.0005,391.489361702128,https://www.stadtwerke-zehdenick.de/netznutzung.html,
Heinrich Klöcker GmbH & Co.KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.kloecker.de/privatkunden/avia-strom.html#c15512,nicht aktuell
Hellweg Energie GmbH - eine Marke der Stadtwerke Lippstadt GmbH,10.80%,31.30%,4.30%,0.60%,52.90%,0.10%,100.00%,36.20%,22.93%,66.45%,9.13%,1.27%,0.21%,76.86%,331,0.0003,702.76008492569,https://www.hellwegenergie.de/de/stromversorgung/haeufige-fragen/stromkennzeichnung.php,
Hermann Geuder Elektrizitätswerk,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.ewerk-geuder.de/html/stromkennzeichnung.html,nicht aktuell
Hertener Stadtwerke GmbH,0.00%,0.00%,0.20%,13.20%,51.50%,35.10%,100.00%,13.40%,0.00%,0.00%,0.41%,27.22%,72.37%,27.63%,1,0.0000,2.06185567010309,https://www.hertener-stadtwerke.de/produkte/hertenstrom.html,
Herzo Werke GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.herzowerke.de/tl_files/herzowerke/Userupload/Hochgeladen_2014_03_01/NETZ_ENWG_Energiemix_2017.pdf,
hev Hohenloher Energie Versorgung GmbH,18.40%,22.30%,2.60%,2.00%,52.90%,1.80%,100.00%,26.90%,39.07%,47.35%,5.52%,4.25%,3.82%,57.11%,216,0.0005,458.59872611465,https://www.hev-energie.de/fileadmin/images/content/pdf/Strommix/HEV_Stromkennzeichnung_2017.pdf,
HEW HofEnergie+Wasser GmbH,9.90%,13.80%,6.50%,0.70%,44.30%,24.90%,100.10%,21.00%,17.77%,24.78%,11.67%,1.26%,44.70%,37.70%,159,0.0003,285.457809694794,https://www.stadtwerke-hof.de/fileadmin/user_upload/11_2018_Stromkennzeichnung_2017.pdf,
HEWA GmbH,7.80%,23.00%,9.60%,1.40%,52.90%,5.30%,100.00%,34.00%,16.56%,48.83%,20.38%,2.97%,11.25%,72.19%,278,0.0002,590.233545647558,https://www.hewagmbh.de/Strom/Vertrieb/Produkte_und_Preise/Stromkennzeichnung,
HochsauerlandEnergie GmbH,10.60%,30.90%,4.30%,0.60%,52.90%,0.70%,100.00%,35.80%,22.51%,65.61%,9.13%,1.27%,1.49%,76.01%,336,0.0004,713.375796178344,https://www.hochsauerlandenergie.de/stromkennzeichnung/#&gid=lightbox-group-268&pid=0,
Hoyer Strom und Erdgas GmbH,11.50%,34.40%,9.20%,2.20%,37.70%,5.10%,100.10%,45.80%,18.46%,55.22%,14.77%,3.53%,8.19%,73.52%,431,0.0002,691.813804173355,https://www.hoyer-strom-erdgas.de/strom/tarife,
idealenergie - eine Marke der 365 AG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.idealenergie.de/idealenergie/stromkennzeichnung/,nicht aktuell
Ideo Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.ideoenergie.de/,nicht vorhanden
ILZHÖFERS Nachf. Inh. Walch KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.ilzhoefer.com/privatkunden/avia-strom.html#c15514,nicht aktuell
immergrün! Energie - Eine Marke der 365 AG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.immergruen-energie.de/agb/stromkennzeichnung/?lang=de,nicht aktuell
In(n) Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.inn-energie.de/strom.html,nicht aktuell
infra fürth gmbh,0.90%,2.50%,0.50%,0.10%,52.00%,44.00%,100.00%,3.10%,1.88%,5.21%,1.04%,0.21%,91.67%,6.46%,27,0.0000,56.25,https://www.infra-fuerth.de/privatkunden/produkte/strom/stromkennzeichnung/,
INNergie - eine Marke der Stadtwerke Rosenheim Versorgungs GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,www.inn-ergie.de/,nicht vorhanden
INNERSTE ENERGIE - Eine Marke der WEVG Salzgitter GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.innersteenergie.de/servicenavi/downloadcenter/,nicht aktuell
innogy SE,11.00%,39.10%,3.00%,0.30%,45.00%,1.60%,100.00%,42.40%,20.00%,71.09%,5.45%,0.55%,2.91%,77.09%,418,0.0003,760,https://www.innogy.com/web/cms/de/3109676/fuer-unternehmen/energie-beschaffen/rechtliche-informationen/stromkennzeichnung/,
Jura Strom - eine Marke der Jura Power GmbH & Co.KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://jura-strom.de/hp472/Stromkennzeichnung.htm,nicht aktuell
Just Energy Deutschland GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.justenergy.de/service/rechtliches/stromkennzeichnung/,FEHLER fehlerhafte Kennzeichnung
KBG KraftstromBezugsgenossenschaft Homberg eG,7.30%,22.40%,7.40%,1.10%,52.90%,8.80%,99.90%,30.90%,15.50%,47.56%,15.71%,2.34%,18.68%,65.61%,262,0.0002,556.263269639066,https://www.kbg-homberg.de/strom/stromkennzeichnung/,
KEEP - Kommunale Eisenberger Energiepartner GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.keep-gmbh.com/de/downloads/content/stromkennzeichnung/Stromkennzeichnung-2017.pdf,
KESLAR GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.avia.de/privatkunden/avia-strom.html,nicht aktuell
KEV Energie GmbH (Energie Nordeifel),8.00%,27.10%,4.50%,0.60%,52.90%,6.80%,99.90%,32.20%,16.99%,57.54%,9.55%,1.27%,14.44%,68.37%,298,0.0002,632.696390658174,https://www.ene-eifel.de/privatkunden-strom/unsere-stromkennzeichnung,
KEW Karwendel Energie & Wasser GmbH,10.70%,27.20%,7.80%,1.20%,52.90%,0.20%,100.00%,36.20%,22.72%,57.75%,16.56%,2.55%,0.42%,76.86%,303,0.0003,643.312101910828,https://www.kewgmbh.de/strom/verordnungen-veroeffentlichungen/,
KEW Kommunale Energie- und Wasserversorgung AG,14.40%,48.70%,5.30%,0.80%,29.30%,1.50%,100.00%,54.80%,20.37%,68.88%,7.50%,1.13%,2.12%,77.51%,536,0.0004,758.132956152758,https://www.kew.de/strom/rund-um-strom/energietraegermix/,
Kiss me green - eine Marke der e:veen Energie eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://eveen.de/stromkennzeichnung/,nicht aktuell
KlickEnergie GmbH & Co. KG,8.00%,34.00%,3.60%,0.50%,52.90%,0.90%,99.90%,38.10%,16.99%,72.19%,7.64%,1.06%,1.91%,80.89%,362,0.0002,768.577494692145,https://www.klickenergie.de/service/stromkennzeichnung/,
Knauber Strom - eine Marke der Knauber Erdgas GmbH,0.00%,0.00%,0.00%,0.00%,45.50%,54.50%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.knauberstrom.de/fileadmin/pdf/charts_verbrauch_strommix_RGB-10-2018-quer.pdf,
KommEnergie GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.kommenergie.de/strom/strommix.html,
Köthen Energie GmbH,7.40%,23.00%,8.60%,6.80%,52.90%,1.30%,100.00%,38.40%,15.71%,48.83%,18.26%,14.44%,2.76%,81.53%,291,0.0002,617.834394904459,https://www.koethenergie.de/wp-content/uploads/2018/11/2018_Stromkennzeichnung-1.pdf,
Kraftwerk Farchant A. Poettinger & Co KG,5.90%,28.10%,6.50%,1.10%,52.90%,5.50%,100.00%,35.70%,12.53%,59.66%,13.80%,2.34%,11.68%,75.80%,316,0.0002,670.912951167728,https://kraftwerk.kwf-elektro.com/files/Diagramm_2017_Internetseite_11_10_18.pdf,
Kraftwerk Köhlgartenwiese GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,http://www.koehlgartenwiese.de/KWK/content/vertrieb/stomherkunft/,
Kraftwerke Haag GmbH,15.10%,25.30%,5.70%,0.80%,52.90%,0.20%,100.00%,31.80%,32.06%,53.72%,12.10%,1.70%,0.42%,67.52%,277,0.0004,588.110403397028,https://www.kraftwerke-haag.de/energiemix.html,
Kreiswerke Main-Kinzig GmbH,7.90%,23.00%,7.90%,1.20%,51.40%,8.60%,100.00%,32.10%,16.26%,47.33%,16.26%,2.47%,17.70%,66.05%,242,0.0002,497.942386831276,https://www.kreiswerke-main-kinzig.de/fileadmin/user_upload/Strom/skz/Stromkennzeichnung_ab_01.11.2018_allgemein_01.pdf,
Kristal Enerji - eine Marke der Stadtwerke Pforzheim GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.kristalenerji.de/service/downloads,nicht aktuell
Lechwerke AG,13.30%,48.00%,8.40%,0.80%,27.90%,1.60%,100.00%,57.20%,18.45%,66.57%,11.65%,1.11%,2.22%,79.33%,528,0.0004,732.316227461859,https://www.lew.de/meine-lew/hilfe-kontakt/rechnung/strommix,
lekker Energie GmbH,2.20%,7.90%,1.30%,0.20%,52.50%,35.90%,100.00%,9.40%,4.63%,16.63%,2.74%,0.42%,75.58%,19.79%,87,0.0001,183.157894736842,https://www.lekker.de/stromkennzeichnung,
Leu Energie GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.leu-strom.de/#,nicht vorhanden
Licht- und Kraftwerke Helmbrechts GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.luk-helmbrechts.de/web_LuK/GEV_Strom.html,nicht aktuell
Licht- und Kraftwerke Sonneberg GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://likra.de/strom/stromkennzeichnung/,nicht aktuell
"Licht-, Kraft- und Wasserwerke Kitzingen GmbH",3.20%,10.40%,3.00%,1.30%,52.90%,29.10%,99.90%,14.70%,6.79%,22.08%,6.37%,2.76%,61.78%,31.21%,119,0.0001,252.653927813164,https://www.lkw-kitzingen.de/strom/stromkennzeichnung.html,
LichtBlick SE,0.00%,0.00%,0.00%,0.00%,53.00%,47.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.lichtblick.de/geschaeftskunden/gewerbestrom/stromkennzeichnung/,
Lidl-Strom von E.ON Energie,15.40%,22.20%,5.80%,1.00%,51.50%,4.10%,100.00%,29.00%,31.75%,45.77%,11.96%,2.06%,8.45%,59.79%,248,0.0004,511.340206185567,https://www.lidl-strom.de/partner,FEHLER fehlerhafte Kennzeichnung
LogoEnergie GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.logoenergie.de/downloads.html?file=files/public/docs/Stromkennzeichnung%20gem%C3%A4%C3%9F%20%C2%A742%20Energiewirtschaftsgesetz.pdf,
LSW Energie GmbH & Co. KG,8.70%,27.10%,3.60%,0.60%,52.90%,7.10%,100.00%,31.30%,18.47%,57.54%,7.64%,1.27%,15.07%,66.45%,294,0.0002,624.203821656051,https://www.lsw.de/fileadmin/user_upload/lsw-energie/downloads/pdf/Strommix_2017_hoch_4c.pdf,
LUDVIKK - eine Marke von TWL Energie Deutschland GmbH,9.00%,27.20%,8.80%,2.00%,52.90%,0.10%,100.00%,38.00%,19.11%,57.75%,18.68%,4.25%,0.21%,80.68%,227,0.0002,481.953290870488,https://ludvikk.de/service/strommix,
LÜNESTROM - eine Marke der FIRSTCON GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://lünestrom.de/luenestrom-wasser.html,FEHLER fehlerhafte Kennzeichnung
MAINGAU Energie GmbH,0.00%,0.00%,0.00%,0.00%,52.94%,47.06%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.maingau-energie.de/tariff-pdf?type=electricity&postcode=28870&city_id=6762&city=Ottersberg&street=Ahornweg&street_number=1&usage=3500&customer=private&productId=1405&workingPrice=27%2C57&basePrice=0%2C00&fixedPriceMonths=12&switchingBonus=0&instantBonus=0,
Mainova AG,4.30%,17.60%,6.30%,1.20%,51.70%,18.90%,100.00%,25.10%,8.90%,36.44%,13.04%,2.48%,39.13%,51.97%,204,0.0001,422.360248447205,https://www.mainova.de/html/stromkennzeichnung.html,
Maintal-Werke-GmbH,7.90%,22.60%,8.90%,1.30%,52.90%,6.40%,100.00%,32.80%,16.77%,47.98%,18.90%,2.76%,13.59%,69.64%,269,0.0002,571.125265392781,https://www.maintal-werke.de/site/assets/files/1281/stromkennzeichnung_2018.pdf,
Mainzer Stadtwerke Vertrieb und Service GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.mainzerenergie.de/de/Unsere-Produkte/Mainzer-Strom-24-Gruen/Mainzer-Strom-24-Gruen.html,nicht aktuell
Manfred Welsch GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.avia.de/privatkunden/avia-strom.html,nicht aktuell
MANN Naturenergie GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.mannstrom.de/was-ist-mann-strom/,nicht aktuell
Mark-E Aktiengesellschaft,6.50%,22.10%,10.90%,1.20%,47.60%,11.60%,99.90%,34.20%,12.40%,42.18%,20.80%,2.29%,22.14%,65.27%,264,0.0002,503.81679389313,https://www.mark-e.de/footer/agb-und-co/stromkennzeichnung/,
medl GmbH,5.40%,14.70%,2.20%,0.20%,45.90%,31.60%,100.00%,17.10%,9.98%,27.17%,4.07%,0.37%,58.41%,31.61%,160,0.0001,295.748613678373,https://www.medl.de/files/medl/img/Downloads/Kennzeichnung%20der%20Stromlieferungen/medl_Stromkennzeichnung2017_inklResidualmix.pdf,
MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,4.40%,17.30%,22.30%,1.00%,52.90%,2.10%,100.00%,40.60%,9.34%,36.73%,47.35%,2.12%,4.46%,86.20%,296,0.0002,628.450106157113,http://www.mega-monheim.de/assets/stromkennzeichnung_2017.pdf,
meine StadtEnergie - eine Marke der Urbania GmbH,16.50%,20.00%,2.40%,1.90%,52.90%,6.30%,100.00%,24.30%,35.03%,42.46%,5.10%,4.03%,13.38%,51.59%,194,0.0004,411.889596602972,https://www.meinestadtenergie.de/de/STROM,
meinheizstrom.de - eine Marke der E.VITA GmbH,8.10%,32.30%,8.20%,1.20%,49.60%,0.50%,99.90%,41.70%,16.07%,64.09%,16.27%,2.38%,0.99%,82.74%,366,0.0002,726.190476190476,https://www.evita-energie.de/privatkunden/service/marktinformationen/strompreis/,
Meißener Stadtwerke GmbH,7.60%,23.50%,17.30%,1.10%,50.50%,0.00%,100.00%,41.90%,15.35%,47.47%,34.95%,2.22%,0.00%,84.65%,297,0.0002,600,https://www.stadtwerke-meissen.de/privatkunden/strom.html,
Mindener Stadtwerke GmbH,6.40%,30.70%,7.10%,1.20%,52.90%,1.70%,100.00%,39.00%,13.59%,65.18%,15.07%,2.55%,3.61%,82.80%,346,0.0002,734.607218683652,https://www.mindener-stadtwerke.de/wp-content/uploads/Stromkennzeichnung_2017_MSW_20181022.pdf,
MONTANA Energieversorgung GmbH & Co. KG,1.90%,6.80%,3.00%,0.30%,52.90%,35.00%,99.90%,10.10%,4.03%,14.44%,6.37%,0.64%,74.31%,21.44%,80,0.0001,169.851380042463,https://www.montana-energie.de/privatkunden/strom/kundenportal-online-service/stromkennzeichnung/,
MVV Energie AG,9.50%,29.50%,11.40%,9.80%,32.20%,7.60%,100.00%,50.70%,14.01%,43.51%,16.81%,14.45%,11.21%,74.78%,379,0.0003,558.997050147493,https://www.mvv.de/energie/pk/strom/start/Stromkennzeichnung.pdf?_ga=2.263525647.245440482.1542009700-545037087.1541423305,
MWEnergy GmbH,8.90%,32.10%,5.30%,0.70%,52.90%,0.00%,99.90%,38.10%,18.90%,68.15%,11.25%,1.49%,0.00%,80.89%,353,0.0002,749.469214437367,https://mwenergy.de/wp-content/uploads/sites/4/2018/11/MWEnergy-Stromkennzeichnung-2017-Stand-01.11.2018.pdf,
